OPCS_4.9,Description
T65.2,T65.2: Excision of lesion of tendon
T65.8,T65.8: Other specified excision of tendon
T65.9,T65.9: Unspecified excision of tendon
T67.1,T67.1: Primary repair of tendon using tendon transfer procedure
T67.2,T67.2: Primary repair of tendon using lengthening procedure
T67.3,T67.3: Primary repair of tendon using permanent prosthesis
T67.4,T67.4: Primary repair of tendon using temporary prosthesis
T67.5,T67.5: Primary repair of tendon using graft
T67.6,T67.6: Primary simple repair of tendon
T67.8,T67.8: Other specified primary repair of tendon
T67.9,T67.9: Unspecified primary repair of tendon
T68.1,T68.1: Secondary repair of tendon using tendon transfer procedure
T68.2,T68.2: Secondary repair of tendon using lengthening procedure
T68.3,T68.3: Secondary repair of tendon using permanent prosthesis
T68.4,T68.4: Secondary repair of tendon using temporary prosthesis
T68.5,T68.5: Secondary repair of tendon using graft
T68.6,T68.6: Secondary simple repair of tendon
T68.8,T68.8: Other specified secondary repair of tendon
T68.9,T68.9: Unspecified secondary repair of tendon
T69.1,T69.1: Primary tenolysis
T69.2,T69.2: Revision of tenolysis
T69.8,T69.8: Other specified freeing of tendon
T69.9,T69.9: Unspecified freeing of tendon
T70.1,T70.1: Subcutaneous tenotomy
T70.2,T70.2: Tenotomy NEC
T70.3,T70.3: Adjustment to muscle origin of tendon
T70.4,T70.4: Shortening of tendon NEC
T70.5,T70.5: Lengthening of tendon
T70.8,T70.8: Other specified adjustment to length of tendon
T70.9,T70.9: Unspecified adjustment to length of tendon
T71.1,T71.1: Tenosynovectomy
T71.8,T71.8: Other specified excision of sheath of tendon
T71.9,T71.9: Unspecified excision of sheath of tendon
T72.1,T72.1: Reconstruction of sheath of tendon
T72.2,T72.2: Biopsy of lesion of sheath of tendon
T72.3,T72.3: Release of constriction of sheath of tendon
T72.4,T72.4: Exploration of sheath of tendon
T72.8,T72.8: Other specified other operations on sheath of tendon
T72.9,T72.9: Unspecified other operations on sheath of tendon
T74.1,T74.1: Biopsy of lesion of tendon NEC
T74.2,T74.2: Removal of prosthesis from tendon
T74.3,T74.3: Exploration of tendon NEC
T74.4,T74.4: Injection of therapeutic substance into tendon NEC
T74.5,T74.5: Extracorporeal shockwave lithotripsy of calculus of tendon
T74.6,T74.6: Autologous blood injection into tendon
T74.7,T74.7: Injection of stem cells into tendon
T74.8,T74.8: Other specified other operations on tendon
T74.9,T74.9: Unspecified other operations on tendon
T76.1,T76.1: Microvascular free tissue transfer of flap of muscle
T76.8,T76.8: Other specified transplantation of muscle
T76.9,T76.9: Unspecified transplantation of muscle
T77.1,T77.1: Excision of whole muscle group
T77.2,T77.2: Wide excision of muscle
T77.3,T77.3: Partial excision of muscle NEC
T77.4,T77.4: Debridement of muscle NEC
T77.8,T77.8: Other specified excision of muscle
T77.9,T77.9: Unspecified excision of muscle
T79.1,T79.1: Plastic repair of rotator cuff of shoulder NEC
T79.2,T79.2: Quadricepsplasty
T79.3,T79.3: Revisional repair of rotator cuff NEC
T79.4,T79.4: Plastic repair of multiple tears of rotator cuff of shoulder
T79.5,T79.5: Revisional repair of multiple tears of rotator cuff of shoulder
T79.8,T79.8: Other specified repair of muscle
T79.9,T79.9: Unspecified repair of muscle
T80.1,T80.1: Release of paralytic tether
T80.2,T80.2: Release of cicatricial tether
T80.3,T80.3: Release of webbing of neck
T80.4,T80.4: Release of sternomastoid muscle
T80.8,T80.8: Other specified release of contracture of muscle
T80.9,T80.9: Unspecified release of contracture of muscle
T81.1,T81.1: Percutaneous biopsy of muscle
T81.2,T81.2: Biopsy of neuromuscular junction
T81.3,T81.3: Biopsy of lesion of muscle NEC
T81.8,T81.8: Other specified biopsy of muscle
T81.9,T81.9: Unspecified biopsy of muscle
T83.1,T83.1: Destruction of lesion of muscle
T83.2,T83.2: Division of muscle
T83.3,T83.3: Stretching of muscle
T83.4,T83.4: Exploration of muscle
T83.5,T83.5: Catheter manometry of muscle compartment
T83.8,T83.8: Other specified other operations on muscle
T83.9,T83.9: Unspecified other operations on muscle
T85.1,T85.1: Block dissection of cervical lymph nodes
T85.2,T85.2: Block dissection of axillary lymph nodes
T85.3,T85.3: Block dissection of mediastinal lymph nodes
T85.4,T85.4: Block dissection of para-aortic lymph nodes
T85.5,T85.5: Block dissection of inguinal lymph nodes
T85.6,T85.6: Block dissection of pelvic lymph nodes
T85.8,T85.8: Other specified block dissection of lymph nodes
T85.9,T85.9: Unspecified block dissection of lymph nodes
T86.1,T86.1: Sampling of cervical lymph nodes
T86.2,T86.2: Sampling of axillary lymph nodes
T86.3,T86.3: Sampling of supraclavicular lymph nodes
T86.4,T86.4: Sampling of internal mammary lymph nodes
T86.5,T86.5: Sampling of mediastinal lymph nodes
T86.6,T86.6: Sampling of para-aortic lymph nodes
T86.7,T86.7: Sampling of inguinal lymph nodes
T86.8,T86.8: Other specified sampling of lymph nodes
T86.9,T86.9: Unspecified sampling of lymph nodes
T87.1,T87.1: Excision or biopsy of scalene lymph node
T87.2,T87.2: Excision or biopsy of cervical lymph node NEC
T87.3,T87.3: Excision or biopsy of axillary lymph node
T87.4,T87.4: Excision or biopsy of mediastinal lymph node
T87.5,T87.5: Excision or biopsy of para-aortic lymph node
T87.6,T87.6: Excision or biopsy of porta hepatis lymph node
T87.7,T87.7: Excision or biopsy of inguinal lymph node
T87.8,T87.8: Other specified excision or biopsy of lymph node
T87.9,T87.9: Unspecified excision or biopsy of lymph node
T88.1,T88.1: Drainage of lesion of cervical lymph node
T88.2,T88.2: Drainage of lesion of axillary lymph node
T88.3,T88.3: Drainage of lesion of inguinal lymph node
T88.8,T88.8: Other specified drainage of lesion of lymph node
T88.9,T88.9: Unspecified drainage of lesion of lymph node
T89.1,T89.1: Reconstruction of lymphatic duct
T89.2,T89.2: Bypass of obstruction of lymphatic duct
T89.3,T89.3: Ligation of lymphatic duct
T89.4,T89.4: Cannulation of lymphatic duct
T89.8,T89.8: Other specified operations on lymphatic duct
T89.9,T89.9: Unspecified operations on lymphatic duct
T90.1,T90.1: Lymphangiography of arm
T90.2,T90.2: Lymphangiography of mediastinal lymph nodes
T90.3,T90.3: Lymphangiography of para-aortic lymph nodes
T90.4,T90.4: Lymphangiography of leg
T90.8,T90.8: Other specified contrast radiology of lymphatic tissue
T90.9,T90.9: Unspecified contrast radiology of lymphatic tissue
T91.1,T91.1: Biopsy of sentinel lymph node NEC
T91.2,T91.2: Scanning of sentinel lymph node
T91.8,T91.8: Other specified operations on sentinel lymph node
T91.9,T91.9: Unspecified operations on sentinel lymph node
T92.1,T92.1: Excision of lymphocele
T92.2,T92.2: Excision of lymphoedematous tissue of arm
T92.3,T92.3: Excision of lymphoedematous tissue of leg and buried flaps HFQ
T92.4,T92.4: Excision of lymphoedematous tissue of leg NEC
T92.5,T92.5: Excision of lymphoedematous tissue of scrotum
T92.6,T92.6: Excision of lymphoedematous tissue NEC
T92.8,T92.8: Other specified other operations on lymphatic tissue
T92.9,T92.9: Unspecified other operations on lymphatic tissue
T94.1,T94.1: Excision of branchial cyst
T94.2,T94.2: Closure of branchial fistula
T94.8,T94.8: Other specified operations on branchial cleft
T94.9,T94.9: Unspecified operations on branchial cleft
T96.1,T96.1: Excision of cystic hygroma
T96.2,T96.2: Excision of lesion of soft tissue NEC
T96.3,T96.3: Debridement of soft tissue NEC
T96.4,T96.4: Evacuation of seroma from soft tissue
T96.5,T96.5: Aspiration of soft tissue NEC
T96.6,T96.6: Biopsy of soft tissue NEC
T96.7,T96.7: Injection into soft tissue NEC
T96.8,T96.8: Other specified other operations on soft tissue
T96.9,T96.9: Unspecified other operations on soft tissue
T97.1,T97.1: Repair of recurrent umbilical hernia using insert of natural material
T97.2,T97.2: Repair of recurrent umbilical hernia using insert of prosthetic material
T97.3,T97.3: Repair of recurrent umbilical hernia using sutures
T97.8,T97.8: Other specified repair of recurrent umbilical hernia
T97.9,T97.9: Unspecified repair of recurrent umbilical hernia
T98.1,T98.1: Repair of recurrent ventral hernia using insert of natural material
T98.2,T98.2: Repair of recurrent ventral hernia using insert of prosthetic material
T98.3,T98.3: Repair of recurrent ventral hernia using sutures
T98.8,T98.8: Other specified repair of recurrent other hernia of abdominal wall
T98.9,T98.9: Unspecified repair of recurrent other hernia of abdominal wall
U01.1,U01.1: Computed tomography of whole body
U01.2,U01.2: Magnetic resonance imaging of whole body
U01.3,U01.3: Thermography of whole body
U01.8,U01.8: Other specified diagnostic imaging of whole body
U01.9,U01.9: Unspecified diagnostic imaging of whole body
U04.1,U04.1: Bitewing radiology
U04.2,U04.2: Periapical radiology
U04.3,U04.3: Occlusal radiology
U04.4,U04.4: Lateral oblique jaw radiology
U04.8,U04.8: Other specified diagnostic imaging of mouth
U04.9,U04.9: Unspecified diagnostic imaging of mouth
U05.1,U05.1: Computed tomography of head
U05.2,U05.2: Magnetic resonance imaging of head
U05.3,U05.3: Functional magnetic resonance imaging of head
U05.4,U05.4: Computed tomography of spine
U05.5,U05.5: Magnetic resonance imaging of spine
U05.8,U05.8: Other specified diagnostic imaging of central nervous system
U05.9,U05.9: Unspecified diagnostic imaging of central nervous system
U06.1,U06.1: Computed tomography of sinuses
U06.2,U06.2: Dacryoscintigraphy
U06.3,U06.3: Ultrasound of thyroid gland
U06.4,U06.4: Plain x-ray of skull
U06.5,U06.5: Scanning of thyroid gland NEC
U06.8,U06.8: Other specified diagnostic imaging of face and neck
U06.9,U06.9: Unspecified diagnostic imaging of face and neck
U07.1,U07.1: Computed tomography of chest
U07.2,U07.2: Magnetic resonance imaging of chest
U07.3,U07.3: Plain x-ray of chest
U07.8,U07.8: Other specified diagnostic imaging of chest
U07.9,U07.9: Unspecified diagnostic imaging of chest
U08.1,U08.1: Computed tomography of abdomen NEC
U08.2,U08.2: Ultrasound of abdomen
U08.3,U08.3: Plain x-ray of abdomen
U08.4,U08.4: Upper gastrointestinal imaging series
U08.5,U08.5: Magnetic resonance imaging of abdomen
U08.8,U08.8: Other specified diagnostic imaging of abdomen
U08.9,U08.9: Unspecified diagnostic imaging of abdomen
U09.1,U09.1: Computed tomography of pelvis
U09.2,U09.2: Ultrasound of pelvis
U09.3,U09.3: Magnetic resonance imaging of pelvis
U09.8,U09.8: Other specified diagnostic imaging of pelvis
U09.9,U09.9: Unspecified diagnostic imaging of pelvis
U10.1,U10.1: Cardiac computed tomography for calcium scoring
U10.2,U10.2: Cardiac computed tomography angiography
U10.3,U10.3: Cardiac magnetic resonance imaging
U10.4,U10.4: Myocardial positron emission tomography
U10.5,U10.5: Radionuclide angiocardiography
U10.6,U10.6: Myocardial perfusion scan
U10.7,U10.7: Cardiac multiple gated acquisition scan
U10.8,U10.8: Other specified diagnostic imaging of heart
U10.9,U10.9: Unspecified diagnostic imaging of heart
U11.1,U11.1: Ultrasound of carotid artery
U11.2,U11.2: Doppler ultrasound of vessels of extremities
U11.3,U11.3: Vascular ultrasound NEC
U11.4,U11.4: Computed tomography scan of cerebral vessels
U11.5,U11.5: Thallium stress test
U11.6,U11.6: D-dimer assay
U11.7,U11.7: Magnetic resonance angiography
U11.8,U11.8: Other specified diagnostic imaging of vascular system
U11.9,U11.9: Unspecified diagnostic imaging of vascular system
U12.1,U12.1: Voiding cystourethrogram
U12.2,U12.2: Ultrasound of scrotum
U12.3,U12.3: Ultrasound of kidneys
U12.4,U12.4: Ultrasound of bladder
U12.5,U12.5: Static renogram
U12.6,U12.6: Mercaptoacetyltriglycine renogram
U12.7,U12.7: Nuclear cystography
U12.8,U12.8: Other specified diagnostic imaging of genitourinary system
U12.9,U12.9: Unspecified diagnostic imaging of genitourinary system
U13.1,U13.1: Bone densitometry
U13.2,U13.2: Ultrasound of bone
U13.3,U13.3: Magnetic resonance imaging of bone
U13.4,U13.4: Plain x-ray of joint
U13.5,U13.5: Plain x-ray of bone
U13.6,U13.6: Computed tomography of bone
U13.8,U13.8: Other specified diagnostic imaging of musculoskeletal system
U13.9,U13.9: Unspecified diagnostic imaging of musculoskeletal system
U14.1,U14.1: Nuclear bone scan of whole body
U14.2,U14.2: Nuclear bone scan - special views
U14.3,U14.3: Nuclear bone scan - three phase
U14.4,U14.4: Nuclear bone scan - two phase
U14.8,U14.8: Other specified nuclear bone scan
U14.9,U14.9: Unspecified nuclear bone scan
U15.1,U15.1: Lung perfusion scanning NEC
U15.2,U15.2: Lung ventilation scanning NEC
U15.3,U15.3: Ventilation perfusion quotient scan
U15.8,U15.8: Other specified diagnostic imaging of respiratory system
U15.9,U15.9: Unspecified diagnostic imaging of respiratory system
U16.1,U16.1: Hepatobiliary nuclear scan
U16.2,U16.2: Magnetic resonance cholangiopancreatography
U16.8,U16.8: Other specified diagnostic imaging of hepatobiliary system
U16.9,U16.9: Unspecified diagnostic imaging of hepatobiliary system
U17.1,U17.1: Meckel's scan
U17.2,U17.2: Selenium 75 homocholic acid taurine study
U17.3,U17.3: Barium swallow
U17.4,U17.4: Barium enema
U17.5,U17.5: Computed tomography of colon
U17.6,U17.6: Patency capsule examination
U17.8,U17.8: Other specified diagnostic imaging of digestive tract
U17.9,U17.9: Unspecified diagnostic imaging of digestive tract
U18.1,U18.1: Scintimammography
U18.2,U18.2: Thermography of breast
U18.3,U18.3: Mammography
U18.8,U18.8: Other specified diagnostic imaging of breast
U18.9,U18.9: Unspecified diagnostic imaging of breast
U19.1,U19.1: Implantation of electrocardiography loop recorder
U19.2,U19.2: 24 hour ambulatory electrocardiography
U19.3,U19.3: 48 hour ambulatory electrocardiography
U19.4,U19.4: Exercise electrocardiography
U19.5,U19.5: Holter extended electrocardiographic recording
U19.6,U19.6: Cardiomemo electrocardiographic monitoring
U19.7,U19.7: Removal of electrocardiography loop recorder
U19.8,U19.8: Other specified diagnostic electrocardiography
U19.9,U19.9: Unspecified diagnostic electrocardiography
U20.1,U20.1: Transthoracic echocardiography
U20.2,U20.2: Transoesophageal echocardiography
U20.3,U20.3: Intravascular echocardiography
U20.4,U20.4: Epicardial echocardiography
U20.5,U20.5: Stress echocardiography
U20.6,U20.6: Fetal echocardiography
U20.8,U20.8: Other specified diagnostic Echocardiography
U20.9,U20.9: Unspecified diagnostic Echocardiography
